fk_x_invoice_item_hub_id,created_at,fk_x_currency_ref_cd,charge_amt,discountable_ind,proration_ind,period_start_at,period_end_at,description,fk_s_change_context_id,row_hash,fk_x_invoice_item_hub_id_raw
11E71376FB0E5A8DA211020AF2129A61,"2017-03-27 22:25:39.737",USD,0,1,0,"2015-05-18 17:11:51","2015-05-25 17:11:51",NULL,11E71376FB0E2E7ABCDA06616AC582AF,A4B3541EDB2A7A0ACF888E32B1FF7C67,...
11E71376FC681EE2A211020AF2129A61,"2017-03-27 22:25:42.004",USD,1900,1,0,"2015-05-25 17:11:51","2015-06-25 17:11:51",NULL,11E71376FC6808C5BCDA06616AC582AF,7E0800E96A282964E46495A285FF139A,...
11E7137708C678B5A211020AF2129A61,"2017-03-27 22:26:02.755",USD,1900,1,0,"2015-06-25 17:11:51","2015-07-25 17:11:51",NULL,11E7137708C6663FBCDA06616AC582AF,1C421E69E37FD268DA7AC71993036CDA,...
11E713772C1D4109A211020AF2129A61,"2017-03-27 22:27:02.044",USD,1900,1,0,"2015-07-25 17:11:51","2015-08-25 17:11:51",NULL,11E713772C1CAA1EBCDA06616AC582AF,CE91DE76C09F53ACE6DFC902184ECB47,...
11E71377897FF5D6A211020AF2129A61,"2017-03-27 22:29:38.719",USD,1900,1,0,"2015-08-25 17:11:51","2015-09-25 17:11:51",NULL,11E71377897FE56BBCDA06616AC582AF,51BEC59D51BE16F9B9269B367BCFC31E,...
11E71377B0F1018DA211020AF2129A61,"2017-03-27 22:30:44.890",USD,1900,1,0,"2015-09-25 17:11:51","2015-10-25 17:11:51",NULL,11E71377B0F0D5A2BCDA06616AC582AF,FFBEEB968C1FD521CB54B8206399D582,...
11E71377C10F7185A211020AF2129A61,"2017-03-27 22:31:11.931",USD,924,1,0,NULL,NULL,"UPS label: 1Z61897V0391781075",11E71377C1110FCFBCDA06616AC582AF,5EA03EEBEBEB09EF3E4D0715B4234967,...
11E71377C112A5D8A211020AF2129A61,"2017-03-27 22:31:11.952",USD,998,1,0,NULL,NULL,"UPS label: 1Z61897V0394083083",11E71377C11429A5BCDA06616AC582AF,6A86BD3100FF8259282B642622820DF8,...
11E71377C11564FBA211020AF2129A61,"2017-03-27 22:31:11.970",USD,1027,1,0,NULL,NULL,"UPS label: 1Z61897V0392491065",11E71377C116EE8DBCDA06616AC582AF,CAC33934F9C81D8196E2176DDF7A1EE2,...
11E71377C118241EA211020AF2129A61,"2017-03-27 22:31:11.989",USD,1027,1,0,NULL,NULL,"UPS label: 1Z61897V0393931168",11E71377C119B6CDBCDA06616AC582AF,47B62F2A5A8ECB63EFB25BC0ACF0C54F,...
11E71377C22F38E7A211020AF2129A61,"2017-03-27 22:31:13.817",USD,1027,1,0,NULL,NULL,"UPS label: 1Z61897V0394773131",11E71377C230B993BCDA06616AC582AF,900FD06CEEA481A0CF930AD27DCF0A13,...
11E71377C231F80AA211020AF2129A61,"2017-03-27 22:31:13.835",USD,924,1,0,NULL,NULL,"UPS label: 1Z61897V0395544770",11E71377C23394C3BCDA06616AC582AF,9AB960D246C7DE6BB028533BE904B006,...
11E71377C234DE3DA211020AF2129A61,"2017-03-27 22:31:13.854",USD,1027,1,0,NULL,NULL,"UPS label: 1Z61897V0393797091",11E71377C2366271BCDA06616AC582AF,6167FB481682FF260F293FF2AC9A55CC,...
11E71377C2379D60A211020AF2129A61,"2017-03-27 22:31:13.872",USD,1027,1,0,NULL,NULL,"UPS label: 1Z61897V0399353219",11E71377C2393A0CBCDA06616AC582AF,1C3E9818503F8383B217A03FBEC4F04A,...
11E71377C23A8393A211020AF2129A61,"2017-03-27 22:31:13.891",USD,1619,1,0,NULL,NULL,"USPS label: 9461210200828759381871",11E71377C23C10BEBCDA06616AC582AF,777DA8B685EBB44C4FCF364D0E3E389B,...
11E71377C23D69C6A211020AF2129A61,"2017-03-27 22:31:13.910",USD,1027,1,0,NULL,NULL,"UPS label: 1Z61897V0399887983",11E71377C23F0245BCDA06616AC582AF,DA2FE5AB414FC77CF5826C8800407BCB,...
11E71377C2407709A211020AF2129A61,"2017-03-27 22:31:13.930",USD,924,1,0,NULL,NULL,"UPS label: 1Z61897V0392053234",11E71377C2420444BCDA06616AC582AF,3A4CF4F754B879B5977584011D9996C8,...
11E71377C243362CA211020AF2129A61,"2017-03-27 22:31:13.949",USD,1027,1,0,NULL,NULL,"UPS label: 1Z61897V0393243205",11E71377C244D3A2BCDA06616AC582AF,FDA6AE64AD10D99DC9B56A3BD7F1C31E,...
11E71377C246436FA211020AF2129A61,"2017-03-27 22:31:13.968",USD,924,1,0,NULL,NULL,"UPS label: 1Z61897V0391571266",11E71377C247E767BCDA06616AC582AF,87CD084AD5D93FE0D1B90179D720024D,...
11E71377C24929A2A211020AF2129A61,"2017-03-27 22:31:13.987",USD,1027,1,0,NULL,NULL,"UPS label: 1Z61897V0392653256",11E71377C24ABAE8BCDA06616AC582AF,F280851F21731612F67EA98B826AAB0D,...
11E71377C3E28E63A211020AF2129A61,"2017-03-27 22:31:16.670",USD,1027,1,0,NULL,NULL,"UPS label: 1Z61897V0396959106",11E71377C3E4343FBCDA06616AC582AF,ED7988419581164B2B2A1F7C46B3DCCC,...
11E71377C3E54D86A211020AF2129A61,"2017-03-27 22:31:16.688",USD,266,1,0,NULL,NULL,"USPS label: 9400110897700034028812",11E71377C3E6F19EBCDA06616AC582AF,DFD236D120FB414A435B556C2BE86330,...
11E71377C3E85AC9A211020AF2129A61,"2017-03-27 22:31:16.708",USD,1027,1,0,NULL,NULL,"UPS label: 1Z61897V0392547148",11E71377C3E9FA16BCDA06616AC582AF,95E3517D2A099C76AACBDAB0DC80E14E,...
11E71377C3EB19ECA211020AF2129A61,"2017-03-27 22:31:16.727",USD,245,1,0,NULL,NULL,"USPS label: 9400110897700034055450",11E71377C3ECB64CBCDA06616AC582AF,7CEE73C7A05B2D27216BDBFB98B195C0,...
11E71377C3EE272FA211020AF2129A61,"2017-03-27 22:31:16.746",USD,924,1,0,NULL,NULL,"UPS label: 1Z61897V0391411125",11E71377C3EFAD87BCDA06616AC582AF,FB172869A7836933D7A7B905A9C513D3,...
11E71377C3F0E652A211020AF2129A61,"2017-03-27 22:31:16.764",USD,830,1,0,NULL,NULL,"UPS label: 1Z61897V0397340156",11E71377C3F27168BCDA06616AC582AF,CDBC9B2BB909DFD86E345B8581AF5678,...
11E71377C3F3A575A211020AF2129A61,"2017-03-27 22:31:16.782",USD,245,1,0,NULL,NULL,"USPS label: 9400110897700034047226",11E71377C3F5470EBCDA06616AC582AF,3CD15393E95C1BECAE224BED07B3316E,...
11E71377C3F6B2B8A211020AF2129A61,"2017-03-27 22:31:16.802",USD,1027,1,0,NULL,NULL,"UPS label: 1Z61897V0393061116",11E71377C3F82D39BCDA06616AC582AF,DC74976E2E7031DDAB31F793B86373C3,...
11E71377C3F971DBA211020AF2129A61,"2017-03-27 22:31:16.820",USD,1837,1,0,NULL,NULL,"USPS label: 9461210200881760129962",11E71377C3FB08D2BCDA06616AC582AF,C17CB5841150D422C8D49FD4524E04A4,...
11E71377C3FC580EA211020AF2129A61,"2017-03-27 22:31:16.839",USD,368,1,0,NULL,NULL,"USPS label: 9400110897700034198676",11E71377C3FDDDF8BCDA06616AC582AF,779771111B74A1CC457184CB3761695C,...
11E71377C3FF1731A211020AF2129A61,"2017-03-27 22:31:16.858",USD,390,1,0,NULL,NULL,"USPS label: 9400110897700034080254",11E71377C400BB1CBCDA06616AC582AF,E2C5D8E626172C1F218F8714C74B886C,...
11E71377C401FD64A211020AF2129A61,"2017-03-27 22:31:16.876",USD,1081,1,0,NULL,NULL,"UPS label: 1Z61897V0390547348",11E71377C403A0CDBCDA06616AC582AF,306CAABA3A2075634D42DFAC70FE412D,...
11E71377C4050AA7A211020AF2129A61,"2017-03-27 22:31:16.896",USD,347,1,0,NULL,NULL,"USPS label: 9400110897700034251913",11E71377C4069808BCDA06616AC582AF,09CEB5BBEA676ADB2A207BD654707161,...
11E71377C407F0DAA211020AF2129A61,"2017-03-27 22:31:16.915",USD,1027,1,0,NULL,NULL,"UPS label: 1Z61897V0396147251",11E71377C409763CBCDA06616AC582AF,917CBF3B835C3FB94C1BC1638762B119,...
11E71377C6A35C1EA211020AF2129A61,"2017-03-27 22:31:21.289",USD,245,1,0,NULL,NULL,"USPS label: 9400110897700034041354",11E71377C6A4E23FBCDA06616AC582AF,39C179C3FD34472EA07E5D5F64E29655,...
11E71377C6A61B41A211020AF2129A61,"2017-03-27 22:31:21.307",USD,1504,1,0,NULL,NULL,"USPS label: 9405510200830876906795",11E71377C6A7BC63BCDA06616AC582AF,CDD9F903057B9D2A208E6C50B07B8E4D,...
11E71377C6A8DA64A211020AF2129A61,"2017-03-27 22:31:21.325",USD,266,1,0,NULL,NULL,"USPS label: 9400110897700034034349",11E71377C6AA76A4BCDA06616AC582AF,CAC7954B8402CC56A7F95AA61409049E,...
11E71377C6ABC097A211020AF2129A61,"2017-03-27 22:31:21.344",USD,245,1,0,NULL,NULL,"USPS label: 9400110897700034032376",11E71377C6AD482EBCDA06616AC582AF,BC90E3D2CEFEE13EBC352BEA0C925DED,...
11E71377C6AECDDAA211020AF2129A61,"2017-03-27 22:31:21.364",USD,390,1,0,NULL,NULL,"USPS label: 9400110897700034140071",11E71377C6B072DBBCDA06616AC582AF,7B555BB9EE31FBEF6D033B633E3FB3FC,...
11E71377C6B1B40DA211020AF2129A61,"2017-03-27 22:31:21.383",USD,245,1,0,NULL,NULL,"USPS label: 9400110897700034104141",11E71377C6B33EBEBCDA06616AC582AF,6515CBE5661DE9942B753F788FAFC2A8,...
11E71377C6B47330A211020AF2129A61,"2017-03-27 22:31:21.401",USD,245,1,0,NULL,NULL,"USPS label: 9400110897700034079944",11E71377C6B60E4EBCDA06616AC582AF,179AF4588E481713F61A70211465A32C,...
11E71377C6B73253A211020AF2129A61,"2017-03-27 22:31:21.419",USD,266,1,0,NULL,NULL,"USPS label: 9400110897700034159844",11E71377C6B8D635BCDA06616AC582AF,FD2FAEADA5C98D1D7C4F9D0323FAE3D0,...
11E71377C6BA1886A211020AF2129A61,"2017-03-27 22:31:21.438",USD,266,1,0,NULL,NULL,"USPS label: 9400110897700034314960",11E71377C6BB9BE0BCDA06616AC582AF,6E1582486C0C066C52363F4B6670C453,...
11E71377C6BCD7A9A211020AF2129A61,"2017-03-27 22:31:21.456",USD,245,1,0,NULL,NULL,"USPS label: 9400110897700034177596",11E71377C6BE7AD8BCDA06616AC582AF,C2CFB4F724A887AFA26377BC61CAE4BB,...
11E71377C6BFE4ECA211020AF2129A61,"2017-03-27 22:31:21.476",USD,924,1,0,NULL,NULL,"UPS label: 1Z61897V0399053034",11E71377C6C17179BCDA06616AC582AF,9A544FDD5E892FC9322C5B06C7973C96,...
11E71377C6C2A40FA211020AF2129A61,"2017-03-27 22:31:21.494",USD,266,1,0,NULL,NULL,"USPS label: 9400110897700034264937",11E71377C6C44033BCDA06616AC582AF,ED319A12012D1FBD1DD7A857FC962BE2,...
11E71377C6C56332A211020AF2129A61,"2017-03-27 22:31:21.512",USD,266,1,0,NULL,NULL,"USPS label: 9400110897700034224962",11E71377C6C6FFFFBCDA06616AC582AF,23AA16938B80F2ACACB85BC1433AD5F2,...
11E71377C6C82255A211020AF2129A61,"2017-03-27 22:31:21.530",USD,486,1,0,NULL,NULL,"USPS label: 9400110897700034223460",11E71377C6C9BF39BCDA06616AC582AF,05859244C946286E3790B9D401B90E2F,...
11E71377C6CB0888A211020AF2129A61,"2017-03-27 22:31:21.549",USD,245,1,0,NULL,NULL,"USPS label: 9400110897700034344899",11E71377C6CC9454BCDA06616AC582AF,3F0CBDC4D50629B34F79EEE267CE37CC,...
11E71377C6CDC7ABA211020AF2129A61,"2017-03-27 22:31:21.567",USD,245,1,0,NULL,NULL,"USPS label: 9400110897700034280784",11E71377C6CF6D12BCDA06616AC582AF,218761FC3A85064FE0592CC25FC23ED8,...
11E71377C6D086CEA211020AF2129A61,"2017-03-27 22:31:21.585",USD,347,1,0,NULL,NULL,"USPS label: 9400110897700034275919",11E71377C6D22B25BCDA06616AC582AF,8B98EF928EB8DDCC9F30C92342304328,...
11E71377C6D36D01A211020AF2129A61,"2017-03-27 22:31:21.604",USD,347,1,0,NULL,NULL,"USPS label: 9400110897700034412833",11E71377C6D50884BCDA06616AC582AF,3D8FE0CC4DCD7555E5500E8152CB692B,...
11E71377C6D65334A211020AF2129A61,"2017-03-27 22:31:21.623",USD,245,1,0,NULL,NULL,"USPS label: 9400110897700034382495",11E71377C6D7F6C8BCDA06616AC582AF,B921DB2DE979E9D360017BFE09326479,...
11E71377C6D93967A211020AF2129A61,"2017-03-27 22:31:21.642",USD,245,1,0,NULL,NULL,"USPS label: 9400110897700034369892",11E71377C6DAC3F6BCDA06616AC582AF,24F9B4FFBDA92A98FC3E683184BA190D,...
11E71377C6DBF88AA211020AF2129A61,"2017-03-27 22:31:21.660",USD,245,1,0,NULL,NULL,"USPS label: 9400110897700034484038",11E71377C6DD89B3BCDA06616AC582AF,657E1B5320E62D9C9177A1A483802645,...
11E71377C6DEDEBDA211020AF2129A61,"2017-03-27 22:31:21.679",USD,390,1,0,NULL,NULL,"USPS label: 9400110897700034475401",11E71377C6E0626ABCDA06616AC582AF,39F92E9B64EEB91A5806FD85A7CD88B8,...
11E71377C6E19DE0A211020AF2129A61,"2017-03-27 22:31:21.697",USD,1027,1,0,NULL,NULL,"UPS label: 1Z61897V0393003483",11E71377C6E3378EBCDA06616AC582AF,A772616BC34A664F031097D7D02B9EF1,...
11E71377C6E45D03A211020AF2129A61,"2017-03-27 22:31:21.715",USD,1027,1,0,NULL,NULL,"UPS label: 1Z61897V0390451469",11E71377C6E5FBE0BCDA06616AC582AF,28C641B3501E690216282EA2C51300AE,...
11E71377C70D19E0A211020AF2129A61,"2017-03-27 22:31:21.983",USD,486,1,0,NULL,NULL,"USPS label: 9400110897700034048063",11E71377C70E9EDCBCDA06616AC582AF,01CF76621361BE9F8F20BEFF9AF87C43,...
11E71377C7100013A211020AF2129A61,"2017-03-27 22:31:22.002",USD,413,1,0,NULL,NULL,"USPS label: 9400110897700034069983",11E71377C7119C84BCDA06616AC582AF,1CC79C82564E1A2D736160218AFE8FDC,...
11E71377C72D9A54A211020AF2129A61,"2017-03-27 22:31:22.197",USD,245,1,0,NULL,NULL,"USPS label: 9400110897700034041163",11E71377C72F2EF7BCDA06616AC582AF,E0DF848B7CA363DE7ADFF28C5B5DA830,...
11E71377C730A797A211020AF2129A61,"2017-03-27 22:31:22.217",USD,245,1,0,NULL,NULL,"USPS label: 9400110897700034041378",11E71377C732469EBCDA06616AC582AF,F56A62F87C969C39A9A2E1344316AB1B,...
11E71377C8BDB0F5A211020AF2129A61,"2017-03-27 22:31:24.817",USD,266,1,0,NULL,NULL,"USPS label: 9400110897700034068894",11E71377C8BF5635BCDA06616AC582AF,D8EA1E513899C9BE6B0FF3FF50D47794,...
11E71377C8CAA856A211020AF2129A61,"2017-03-27 22:31:24.903",USD,245,1,0,NULL,NULL,"USPS label: 9400110897700034543360",11E71377C8CC4238BCDA06616AC582AF,1DEBAA385EDC6ED5D0788AF1CFBDE4AF,...
11E71377C8CD8E89A211020AF2129A61,"2017-03-27 22:31:24.921",USD,266,1,0,NULL,NULL,"USPS label: 9400110897700034415698",11E71377C8CF1DC8BCDA06616AC582AF,AC65CECACE94625C646D0492D6367CE9,...
11E71377C8D04DACA211020AF2129A61,"2017-03-27 22:31:24.940",USD,245,1,0,NULL,NULL,"USPS label: 9400110897700034401868",11E71377C8D1F5D6BCDA06616AC582AF,CBB191BD4DCC587FA8037C893838980F,...
11E71377C8D333DFA211020AF2129A61,"2017-03-27 22:31:24.959",USD,611,1,0,NULL,NULL,"USPS label: 9405510200793724826273",11E71377C8D4D1F8BCDA06616AC582AF,E1DF569A6C14DD4CAAE7D661D59F5714,...
11E71377C8D61A12A211020AF2129A61,"2017-03-27 22:31:24.977",USD,1027,1,0,NULL,NULL,"UPS label: 1Z61897V0393347540",11E71377C8D7AED9BCDA06616AC582AF,92C350441C32C12A6A44605E9465A2CD,...
11E71377C8D92755A211020AF2129A61,"2017-03-27 22:31:24.997",USD,266,1,0,NULL,NULL,"USPS label: 9400110897700034547979",11E71377C8DAA46ABCDA06616AC582AF,93E66F4839748FCA3273A07A3BD7E3D2,...
