fk_x_invoice_hub_id,created_at,fk_x_currency_ref_cd,due_amt,total_amt,subtotal_amt,fee_amt,paid_ind,closed_ind,forgiven_ind,attempt_cnt,x_receipt_id,next_attempt_at,period_start_at,period_end_at,description,fk_s_change_context_id,row_hash,fk_x_invoice_hub_id_raw
11E71376FB0CD3EAA211020AF2129A61,"2017-03-27 22:25:39.725",USD,0,0,0,0,1,1,0,0,NULL,NULL,"2015-05-18 17:11:51","2015-05-18 17:11:51",NULL,11E71376FB0E2E7ABCDA06616AC582AF,A49E6F9581DEF025C1DD1936634E6C8F,...
11E71376FC66983FA211020AF2129A61,"2017-03-27 22:25:42.024",USD,1900,1900,1900,0,1,1,0,1,2721-0097,NULL,"2015-05-18 17:11:51","2015-05-25 17:11:51",NULL,11E71376FC6D12A2BCDA06616AC582AF,7071FAD7F248D2A750D117B082F5883E,...
11E7137708C4F212A211020AF2129A61,"2017-03-27 22:26:02.794",USD,1900,1900,1900,0,1,1,0,1,2754-5900,NULL,"2015-05-25 17:11:51","2015-06-25 17:11:51",NULL,11E7137708CE4232BCDA06616AC582AF,1F0AD5AB5BB33E476972AAD07EA0858E,...
11E713772C1B4536A211020AF2129A61,"2017-03-27 22:27:02.128",USD,1900,1900,1900,0,1,1,0,1,2037-9859,NULL,"2015-06-25 17:11:51","2015-07-25 17:11:51",NULL,11E713772C2C054CBCDA06616AC582AF,2C5A9220642E15B7C45358790F73B488,...
11E71377897E6F33A211020AF2129A61,"2017-03-27 22:29:38.948",USD,1900,1900,1900,0,1,1,0,1,2219-0490,NULL,"2015-07-25 17:11:51","2015-08-25 17:11:51",NULL,11E7137789A4F304BCDA06616AC582AF,4F6585881D3997FC749A8EB61ABB42AE,...
11E71377B0EF7AEAA211020AF2129A61,"2017-03-27 22:30:44.935",USD,1900,1900,1900,0,1,1,0,1,2023-7264,NULL,"2015-08-25 17:11:51","2015-09-25 17:11:51",NULL,11E71377B0F9A8E4BCDA06616AC582AF,4E7BFF75F2375CA0EB25EACCD4B2E2A5,...
11E71377C12591ADA211020AF2129A61,"2017-03-27 22:31:12.128",USD,3976,3976,3976,0,1,1,0,1,2732-4370,NULL,NULL,NULL,NULL,11E71377C12F2F97BCDA06616AC582AF,98C8F9FD617FDE1CB4E62E09A11A7D1F,...
11E71377C2673913A211020AF2129A61,"2017-03-27 22:31:14.288",USD,10553,10553,10553,0,1,1,0,1,2456-9823,NULL,NULL,NULL,NULL,11E71377C278BC2CBCDA06616AC582AF,26751B03105404C442762C89EB38DD59,...
11E71377C430FCD7A211020AF2129A61,"2017-03-27 22:31:17.506",USD,10641,10641,10641,0,1,1,0,1,2089-4299,NULL,NULL,NULL,NULL,11E71377C463E321BCDA06616AC582AF,DE0FBC6A669DCD15931D87BC9F7B9D71,...
11E71377C733B4DAA211020AF2129A61,"2017-03-27 22:31:22.671",USD,11611,11611,11611,0,1,1,0,1,2607-5095,NULL,NULL,NULL,NULL,11E71377C777FD89BCDA06616AC582AF,CC4DADC1C66040CAEE9E9FF15249344D,...
11E71377C8EE842DA211020AF2129A61,"2017-03-27 22:31:25.215",USD,2926,2926,2926,0,1,1,0,1,2360-2666,NULL,NULL,NULL,NULL,11E71377C8FC2112BCDA06616AC582AF,30F48ABC3C56704FD9C074322715E23F,...
11E71377C9F03D02A211020AF2129A61,"2017-03-27 22:31:26.860",USD,2054,2054,2054,0,1,1,0,1,2911-3355,NULL,NULL,NULL,NULL,11E71377C9F72059BCDA06616AC582AF,AE805A1D3D1440789DBC0A0D7108BD16,...
11E71377CB77A045A211020AF2129A61,"2017-03-27 22:31:29.609",USD,12682,12682,12682,0,1,1,0,1,2920-6463,NULL,NULL,NULL,NULL,11E71377CB9AAD72BCDA06616AC582AF,BA68BC70B618BEE244B2A3D729C09405,...
11E71377CD9FD7E4A211020AF2129A61,"2017-03-27 22:31:33.407",USD,13041,13041,13041,0,1,1,0,1,2677-0466,NULL,NULL,NULL,NULL,11E71377CDDE0BF5BCDA06616AC582AF,23D2B94C6617D805636B52420926D018,...
11E71377D099B642A211020AF2129A61,"2017-03-27 22:31:38.270",USD,8355,8355,8355,0,1,1,0,1,2576-8355,NULL,NULL,NULL,NULL,11E71377D0C42AFCBCDA06616AC582AF,884553D388C2A3A22EB3D25CFB5BD1ED,...
11E71377D2900835A211020AF2129A61,"2017-03-27 22:31:41.563",USD,7098,7098,7098,0,1,1,0,1,2658-2754,NULL,NULL,NULL,NULL,11E71377D2BAAB6FBCDA06616AC582AF,CF7441A2CAE7D77345D4C1636523DACC,...
11E71377D4E73E5FA211020AF2129A61,"2017-03-27 22:31:45.501",USD,7336,7336,7336,0,1,1,0,1,2154-4606,NULL,NULL,NULL,NULL,11E71377D5138203BCDA06616AC582AF,01D049E71EDC43DA2A3A7D21222CE797,...
11E71377D688BA4AA211020AF2129A61,"2017-03-27 22:31:48.026",USD,1565,1565,1565,0,1,1,0,1,2848-3449,NULL,NULL,NULL,NULL,11E71377D694E4FABCDA06616AC582AF,5F24376BFE4EAABA3E01D786CEA108F6,...
11E71377D7B2E1D9A211020AF2129A61,"2017-03-27 22:31:50.142",USD,7061,7061,7061,0,1,1,0,1,2207-8943,NULL,NULL,NULL,NULL,11E71377D7D79F17BCDA06616AC582AF,356EF3390813F4FE3CDEF693632706CF,...
11E71377D9FF4360A211020AF2129A61,"2017-03-27 22:31:54.022",USD,10578,10578,10578,0,1,1,0,1,2686-8533,NULL,NULL,NULL,NULL,11E71377DA27B9F9BCDA06616AC582AF,CA315E264EDFB450B8AA3B460404D8AC,...
11E71377DC19704DA211020AF2129A61,"2017-03-27 22:31:57.629",USD,11179,11179,11179,0,1,1,0,1,2689-4340,NULL,NULL,NULL,NULL,11E71377DC4E2D90BCDA06616AC582AF,5090841B84EC068B919E670980AE729C,...
11E71377DEE513C3A211020AF2129A61,"2017-03-27 22:32:02.368",USD,15133,15133,15133,0,1,1,0,1,2205-5038,NULL,NULL,NULL,NULL,11E71377DF2132D0BCDA06616AC582AF,82D5C06A0DA8C11E7E2D358FCDD4DBAC,...
11E71377E20258AAA211020AF2129A61,"2017-03-27 22:32:07.522",USD,12813,12813,12813,0,1,1,0,1,2716-4728,NULL,NULL,NULL,NULL,11E71377E233AECFBCDA06616AC582AF,9355A36240508619D68B7DDD3E4CE5B8,...
11E71377E39C8098A211020AF2129A61,"2017-03-27 22:32:13.365",USD,1900,1900,1900,0,1,1,0,1,2980-9233,NULL,"2015-09-25 17:11:51","2015-10-25 17:11:51",NULL,11E71377E5AEE3ABBCDA06616AC582AF,659C5A288A48784B5BE18539AE5A84FD,...
11E71377E4244ED1A211020AF2129A61,"2017-03-27 22:32:11.092",USD,9858,9858,9858,0,1,1,0,1,2526-1841,NULL,NULL,NULL,NULL,11E71377E454643FBCDA06616AC582AF,F21577BDE5C6B4D259EDF7EFE4A7A8FD,...
11E71377E578458AA211020AF2129A61,"2017-03-27 22:32:13.041",USD,830,830,830,0,1,1,0,1,2212-4108,NULL,NULL,NULL,NULL,11E71377E57DDE85BCDA06616AC582AF,D254CA5AC805AD797671BFF37ADE235F,...
11E71377E60D3352A211020AF2129A61,"2017-03-27 22:32:14.404",USD,2730,2730,2730,0,1,1,0,1,2979-3869,NULL,NULL,NULL,NULL,11E71377E64DBC7BBCDA06616AC582AF,205F68395483FAC395CC4118DA8A38F1,...
11E71377E75A9A80A211020AF2129A61,"2017-03-27 22:32:16.403",USD,7910,7910,7910,0,1,1,0,1,2165-1329,NULL,NULL,NULL,NULL,11E71377E77EC83CBCDA06616AC582AF,1547915725A75A80C4853E4E00D0512C,...
