sk_id,created_at,updated_at,deleted_at,fk_r_billing_engine_ref_cd,x_invoice_item_id,fk_r_revenue_source_ref_cd,fk_x_billing_account_hub_id,fk_x_subscription_r_plan_lnk_id,x_created_at,fk_s_change_context_id_cr,fk_s_change_context_id_dl,sk_id_raw
11E71377C22F38E7A211020AF2129A61,"2017-03-27 22:31:13.814","2017-03-27 22:31:13.817",NULL,STRIPE,ii_16uCL0HiCtHGC78F9lx74q6e,SHIPPING,...,NULL,"2015-10-09 18:39:54",11E71377C230B993BCDA06616AC582AF,NULL,...
11E71377C231F80AA211020AF2129A61,"2017-03-27 22:31:13.833","2017-03-27 22:31:13.835",NULL,STRIPE,ii_16uCL0HiCtHGC78Fi2o5VBYb,SHIPPING,...,NULL,"2015-10-09 18:39:54",11E71377C23394C3BCDA06616AC582AF,NULL,...
11E71377C234DE3DA211020AF2129A61,"2017-03-27 22:31:13.851","2017-03-27 22:31:13.854",NULL,STRIPE,ii_16uCL0HiCtHGC78F19njXMt8,SHIPPING,...,NULL,"2015-10-09 18:39:54",11E71377C2366271BCDA06616AC582AF,NULL,...
11E71377C2379D60A211020AF2129A61,"2017-03-27 22:31:13.870","2017-03-27 22:31:13.872",NULL,STRIPE,ii_16uCL1HiCtHGC78F3WsCSY76,SHIPPING,...,NULL,"2015-10-09 18:39:55",11E71377C2393A0CBCDA06616AC582AF,NULL,...
11E71377C23A8393A211020AF2129A61,"2017-03-27 22:31:13.889","2017-03-27 22:31:13.891",NULL,STRIPE,ii_16uCL1HiCtHGC78F9pEC4hsR,SHIPPING,...,NULL,"2015-10-09 18:39:55",11E71377C23C10BEBCDA06616AC582AF,NULL,...
11E71377C23D69C6A211020AF2129A61,"2017-03-27 22:31:13.908","2017-03-27 22:31:13.910",NULL,STRIPE,ii_16uCL1HiCtHGC78FEcaf8Q2V,SHIPPING,...,NULL,"2015-10-09 18:39:55",11E71377C23F0245BCDA06616AC582AF,NULL,...
11E71377C2407709A211020AF2129A61,"2017-03-27 22:31:13.927","2017-03-27 22:31:13.930",NULL,STRIPE,ii_16uCL2HiCtHGC78FKhanBkga,SHIPPING,...,NULL,"2015-10-09 18:39:56",11E71377C2420444BCDA06616AC582AF,NULL,...
11E71377C243362CA211020AF2129A61,"2017-03-27 22:31:13.946","2017-03-27 22:31:13.949",NULL,STRIPE,ii_16uCL2HiCtHGC78FtFIzfOd3,SHIPPING,...,NULL,"2015-10-09 18:39:56",11E71377C244D3A2BCDA06616AC582AF,NULL,...
11E71377C246436FA211020AF2129A61,"2017-03-27 22:31:13.966","2017-03-27 22:31:13.968",NULL,STRIPE,ii_16uCL3HiCtHGC78FnEaheuOa,SHIPPING,...,NULL,"2015-10-09 18:39:57",11E71377C247E767BCDA06616AC582AF,NULL,...
11E71377C24929A2A211020AF2129A61,"2017-03-27 22:31:13.985","2017-03-27 22:31:13.987",NULL,STRIPE,ii_16uCL3HiCtHGC78F28WtvoFo,SHIPPING,...,NULL,"2015-10-09 18:39:57",11E71377C24ABAE8BCDA06616AC582AF,NULL,...
11E71377C3E28E63A211020AF2129A61,"2017-03-27 22:31:16.668","2017-03-27 22:31:16.670",NULL,STRIPE,ii_16uYokHiCtHGC78FFhRh3ukT,SHIPPING,...,NULL,"2015-10-10 18:40:06",11E71377C3E4343FBCDA06616AC582AF,NULL,...
11E71377C3E54D86A211020AF2129A61,"2017-03-27 22:31:16.686","2017-03-27 22:31:16.688",NULL,STRIPE,ii_16uYokHiCtHGC78F0ipdsc7Z,SHIPPING,...,NULL,"2015-10-10 18:40:06",11E71377C3E6F19EBCDA06616AC582AF,NULL,...
11E71377C3E85AC9A211020AF2129A61,"2017-03-27 22:31:16.706","2017-03-27 22:31:16.708",NULL,STRIPE,ii_16uYolHiCtHGC78Flfae6Xgi,SHIPPING,...,NULL,"2015-10-10 18:40:07",11E71377C3E9FA16BCDA06616AC582AF,NULL,...
11E71377C3EB19ECA211020AF2129A61,"2017-03-27 22:31:16.724","2017-03-27 22:31:16.727",NULL,STRIPE,ii_16uYolHiCtHGC78FQcyfmYlG,SHIPPING,...,NULL,"2015-10-10 18:40:07",11E71377C3ECB64CBCDA06616AC582AF,NULL,...
11E71377C3EE272FA211020AF2129A61,"2017-03-27 22:31:16.743","2017-03-27 22:31:16.746",NULL,STRIPE,ii_16uYomHiCtHGC78F6HMirih4,SHIPPING,...,NULL,"2015-10-10 18:40:08",11E71377C3EFAD87BCDA06616AC582AF,NULL,...
11E71377C3F0E652A211020AF2129A61,"2017-03-27 22:31:16.762","2017-03-27 22:31:16.764",NULL,STRIPE,ii_16uYomHiCtHGC78FrtgEtxRV,SHIPPING,...,NULL,"2015-10-10 18:40:08",11E71377C3F27168BCDA06616AC582AF,NULL,...
