fk_r_billing_engine_ref_cd,x_invoice_id,sk_id,fk_r_revenue_source_ref_cd,fk_x_billing_account_hub_id,fk_x_subscription_hub_id,fk_s_change_context_id_cr,created_at,updated_at,x_created_at,fk_s_change_context_id_dl,deleted_at
STRIPE,in_178q1NHiCtHGC78FNeHkahV9,...,SHIPPING,...,NULL,...,"2017-03-27 22:33:21.093","2017-03-27 22:33:21.579","2015-11-19 02:52:09",NULL,NULL
STRIPE,in_178q1qHiCtHGC78FCRISCDXF,...,SHIPPING,...,NULL,...,"2017-03-27 22:33:23.013","2017-03-27 22:33:23.260","2015-11-19 02:52:38",NULL,NULL
STRIPE,in_178q2THiCtHGC78FvcWnDnpd,...,SHIPPING,...,NULL,...,"2017-03-27 22:33:24.532","2017-03-27 22:33:24.846","2015-11-19 02:53:17",NULL,NULL
STRIPE,in_178q5lHiCtHGC78FsJejleD2,...,SHIPPING,...,NULL,...,"2017-03-27 22:33:34.622","2017-03-27 22:33:34.896","2015-11-19 02:56:41",NULL,NULL
STRIPE,in_17AbxlHiCtHGC78F0xRK2vcl,...,SHIPPING,...,NULL,...,"2017-03-27 22:33:37.852","2017-03-27 22:33:38.230","2015-11-24 00:15:45",NULL,NULL
STRIPE,in_17Abz6HiCtHGC78FIbDB463l,...,SHIPPING,...,NULL,...,"2017-03-27 22:33:39.604","2017-03-27 22:33:39.929","2015-11-24 00:17:08",NULL,NULL
STRIPE,in_17AbznHiCtHGC78FH5nrbtn6,...,SHIPPING,...,NULL,...,"2017-03-27 22:33:41.447","2017-03-27 22:33:41.823","2015-11-24 00:17:51",NULL,NULL
STRIPE,in_17Ac03HiCtHGC78FZOpyccZ3,...,SHIPPING,...,NULL,...,"2017-03-27 22:33:43.226","2017-03-27 22:33:43.477","2015-11-24 00:18:07",NULL,NULL
STRIPE,in_17Ac0OHiCtHGC78FeKGs6tQF,...,SHIPPING,...,NULL,...,"2017-03-27 22:33:44.044","2017-03-27 22:33:44.089","2015-11-24 00:18:28",NULL,NULL
STRIPE,in_17Ac0xHiCtHGC78FRgRrOveD,...,SHIPPING,...,NULL,...,"2017-03-27 22:33:44.926","2017-03-27 22:33:45.247","2015-11-24 00:19:03",NULL,NULL
STRIPE,in_17Ac1CHiCtHGC78FFll5NnE7,...,SHIPPING,...,NULL,...,"2017-03-27 22:33:46.539","2017-03-27 22:33:47.055","2015-11-24 00:19:18",NULL,NULL
STRIPE,in_17Ac1bHiCtHGC78Fm2VyQTan,...,SHIPPING,...,NULL,...,"2017-03-27 22:33:48.398","2017-03-27 22:33:48.752","2015-11-24 00:19:43",NULL,NULL
STRIPE,in_17Ac23HiCtHGC78FSXh4hP5j,...,SHIPPING,...,NULL,...,"2017-03-27 22:33:50.077","2017-03-27 22:33:50.434","2015-11-24 00:20:11",NULL,NULL
STRIPE,in_17Ac2GHiCtHGC78F8JFbSiaU,...,SHIPPING,...,NULL,...,"2017-03-27 22:33:51.374","2017-03-27 22:33:51.578","2015-11-24 00:20:24",NULL,NULL
STRIPE,in_17Ac2UHiCtHGC78FATIUD6qV,...,SHIPPING,...,NULL,...,"2017-03-27 22:33:52.111","2017-03-27 22:33:52.165","2015-11-24 00:20:38",NULL,NULL
STRIPE,in_17BDPtHiCtHGC78FVuldepkr,...,PRIMARY,...,...,...,"2017-03-27 22:33:55.153","2017-03-27 22:33:55.188","2015-11-25 16:15:17",NULL,NULL
