fk_r_billing_engine_ref_cd,x_invoice_item_id,sk_id,fk_r_revenue_source_ref_cd,fk_x_billing_account_hub_id,fk_x_subscription_r_plan_lnk_id,fk_s_change_context_id_cr,created_at,updated_at,x_created_at,fk_s_change_context_id_dl,deleted_at
STRIPE,ii_16uYonHiCtHGC78FsQjJQy1I,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:16.855","2017-03-27 22:31:16.858","2015-10-10 18:40:09",NULL,NULL
STRIPE,ii_16uYooHiCtHGC78FYanA38Wk,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:16.874","2017-03-27 22:31:16.876","2015-10-10 18:40:10",NULL,NULL
STRIPE,ii_16uYooHiCtHGC78FU0OszR5L,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:16.893","2017-03-27 22:31:16.896","2015-10-10 18:40:10",NULL,NULL
STRIPE,ii_16uYooHiCtHGC78F0KDsyuLL,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:16.912","2017-03-27 22:31:16.915","2015-10-10 18:40:10",NULL,NULL
STRIPE,ii_16uvIBHiCtHGC78Fw3vx94jQ,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:21.286","2017-03-27 22:31:21.289","2015-10-11 18:39:59",NULL,NULL
STRIPE,ii_16uvIBHiCtHGC78FxrdaG8n2,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:21.305","2017-03-27 22:31:21.307","2015-10-11 18:39:59",NULL,NULL
STRIPE,ii_16uvIBHiCtHGC78F0FfCAQFG,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:21.323","2017-03-27 22:31:21.325","2015-10-11 18:39:59",NULL,NULL
STRIPE,ii_16uvIBHiCtHGC78FqaEQQm8F,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:21.341","2017-03-27 22:31:21.344","2015-10-11 18:39:59",NULL,NULL
STRIPE,ii_16uvIDHiCtHGC78F9kALgI59,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:21.362","2017-03-27 22:31:21.364","2015-10-11 18:40:01",NULL,NULL
STRIPE,ii_16uvIDHiCtHGC78FFZTAmJeK,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:21.380","2017-03-27 22:31:21.383","2015-10-11 18:40:01",NULL,NULL
STRIPE,ii_16uvIDHiCtHGC78F0fsgXPsN,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:21.399","2017-03-27 22:31:21.401","2015-10-11 18:40:01",NULL,NULL
STRIPE,ii_16uvIEHiCtHGC78FrpptnFWp,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:21.417","2017-03-27 22:31:21.419","2015-10-11 18:40:02",NULL,NULL
STRIPE,ii_16uvIFHiCtHGC78FhyoCCme5,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:21.435","2017-03-27 22:31:21.438","2015-10-11 18:40:03",NULL,NULL
STRIPE,ii_16uvIFHiCtHGC78FyiRhPhBE,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:21.454","2017-03-27 22:31:21.456","2015-10-11 18:40:03",NULL,NULL
STRIPE,ii_16uvIGHiCtHGC78F7RXHJdBq,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:21.473","2017-03-27 22:31:21.476","2015-10-11 18:40:04",NULL,NULL
STRIPE,ii_16uvIHHiCtHGC78FZrmv3GgT,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:21.492","2017-03-27 22:31:21.494","2015-10-11 18:40:05",NULL,NULL
STRIPE,ii_16uvIHHiCtHGC78FQ4B0LLXE,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:21.510","2017-03-27 22:31:21.512","2015-10-11 18:40:05",NULL,NULL
STRIPE,ii_16uvIHHiCtHGC78Fh1RvE4ah,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:21.528","2017-03-27 22:31:21.530","2015-10-11 18:40:05",NULL,NULL
STRIPE,ii_16uvIIHiCtHGC78FbrXPpCZQ,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:21.547","2017-03-27 22:31:21.549","2015-10-11 18:40:06",NULL,NULL
STRIPE,ii_16uvIIHiCtHGC78F8uRs0VZt,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:21.565","2017-03-27 22:31:21.567","2015-10-11 18:40:06",NULL,NULL
STRIPE,ii_16uvIIHiCtHGC78FRSbon4e4,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:21.583","2017-03-27 22:31:21.585","2015-10-11 18:40:06",NULL,NULL
STRIPE,ii_16uvIJHiCtHGC78Fz23Qj7NN,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:21.602","2017-03-27 22:31:21.604","2015-10-11 18:40:07",NULL,NULL
